ADSS	156	501	3.56893666314257	25	0.047241784
AP2A1	157	501	3.23426288557822	39	0.010255026
AP2A2	158	501	4.39647958949835	37	0.01461039
AP1B1	159	499	2.85345857893155	52	0.02308627
AP2B1	160	501	3.55021132969835	58	0.001520219
AP1G1	161	501	3.70300617093333	37	0.013650546
AEBP1	162	501	2.96171425027426	2	0.093331696
AES	163	501	5.40538834223631	28	0.007354718
CRISP1	164	7	0.0625451309523809	0	0.300824021
AFG3L1P	169	501	4.3306068083099	0	-
AFM	170	7	0.0476553162281746	0	0.341690188
AFP	171	43	0.276560607174603	9	0.341689879
AGA	172	501	2.95849775785842	2	0.23426259
ACAN	173	501	2.5717531395934	24	0.279196316
AGER	174	501	4.05744698983399	12	0.275351014
AGL	175	501	3.56018290244851	24	0.063846394
AGRP	178	501	2.60928383298053	0	0.215418665
JAG1	179	495	2.3391119300248	14	0.028111707
AGT	180	501	5.15831336090396	21	0.23261332
AGTR1	182	21	0.140402113532738	0	0.057913931
AGTR2	183	16	0.110584778939484	0	0.103705486
APLNR	184	501	3.18892207687921	1	0.048734653
AGXT	186	500	2.48779284223069	5	0.112724976
NR0B1	187	493	2.17880105044851	17	0.239918672
AHCY	188	501	4.17777609980198	42	0.02753005
AHR	193	497	2.61784647073909	43	0.254724472
AHSG	194	444	1.98330040700231	13	0.481766124
AIF1	196	501	3.56799268440231	4	0.162950729
AIM1	199	37	0.237511689371287	1	0.223750653
AK1	200	501	3.98144244022673	9	0.075986232
AK2	201	501	3.9341651207806	26	0.044135325
AK3L1	202	501	4.01228200115512	0	-
AKT1	204	493	2.26680144305941	263	0.009463028
AKT2	205	501	3.85606892385809	49	0.013452237
ALAD	207	501	2.99358671217327	18	0.131939762
ALAS1	208	499	3.02486002623366	16	0.083150548
ALAS2	209	469	2.1027457093802	3	0.123417722
ALB	210	389	1.79369723577778	162	0.212189616
ALCAM	211	501	4.7566888479198	3	0.086597452
ABCD1	212	201	0.85959768189703	13	0.079122504
ALDH1A1	213	501	4.01467123208812	5	0.134163645
ALDH2	214	501	5.55603680858713	20	0.027900646
ALDH3A1	215	294	1.34932967523909	3	0.104521147
ALDH1B1	216	501	2.50545760644356	8	0.037919684
ALDH1A3	217	500	2.52345983700959	1	0.043406179
ALDH3B1	218	499	2.24339604882277	3	0.076189595
ALDH3B2	219	233	1.03547135261508	0	0.082997639
ALDH9A1	220	501	3.51221495411188	8	0.108964582
ALDH3A2	221	501	4.04566331124356	7	0.140665796
ABCD2	222	500	2.98893364417659	4	0.065967671
ALDOA	223	501	5.42504634094208	40	0.075931232
ALDOB	226	360	1.53962442424059	16	0.056305138
ALDOC	227	501	5.49910490802673	17	0.025419664
AKR1B1	228	501	4.2324411981495	16	0.107782673
ALK	235	455	2.61633479477624	56	0.103503185
ALOX12	236	144	0.709281029554455	7	0.16870915
ALOX5	237	497	3.29506582674703	8	0.042927334
ALOX5AP	238	501	2.99603691105545	2	0.059322034
ALOX12B	239	494	2.21054202424357	4	0.087527895
ALOX12P2	242	377	1.67288622914653	0	-
ALOX15	243	68	0.364728281645833	1	0.219794512
ALOX15B	244	500	2.57841280282837	3	0.18030303
ALPI	245	341	1.51740485052083	5	0.151374207
ALPL	246	448	1.90074941934554	6	0.061520164
ALPP	247	501	3.37258157913465	20	0.163581843
ALPPL2	248	501	4.45132941378614	4	0.169700841
ALX3	254	501	5.04329110458613	0	0.087916755
AMBN	255	259	1.19092618153861	2	0.535009398
AMBP	256	163	0.759783940230159	13	0.166913355
AMD1	259	501	5.52178020462377	1	0.059449312
AMELX	262	23	0.174251320824405	0	0.53803681
AMELY	263	339	1.50649490019307	0	0.724018476
AMFR	264	501	3.97702529807525	78	0.056076715
AMH	265	344	1.36425629119109	7	0.136734391
AMHR2	266	279	1.16954257356832	4	0.293501048
AMPD1	267	3	0.0192197805456349	7	0.071198064
AMPD2	268	501	3.05536467694654	5	0.017851647
AMPD3	269	501	3.56897552637822	2	0.040992449
AMPH	270	500	4.09508786763069	46	0.157751938
BIN1	271	501	5.33677911311683	51	0.042328042
AMT	272	501	3.30549673869109	0	0.116742693
AMY1B	274	501	4.36723119700495	0	0.176406759
AMY2A	276	501	4.3527865007505	3	0.174962791
ANG	280	492	2.08236163820139	9	0.378357236
ANGPT1	281	499	2.61968165434325	4	0.03026417
ANGPT2	282	501	2.21080833721172	8	0.070137694
ANK1	283	501	3.33648205993597	20	0.071700411
ANK2	284	501	4.13507441534059	27	0.080751003
ANK3	285	501	5.01449049073663	22	0.051368292
ANPEP	287	206	0.900124470612871	3	0.126198224
SLC25A4	288	501	4.85679276529604	34	0.048568747
SLC25A5	289	501	4.8238282188091	198	0.026574803
SLC25A6	290	501	4.19196559476535	71	-
ANXA1	298	500	3.43933274461111	53	0.122721035
ANXA2	299	501	3.7783243993099	69	0.021069128
ANXA2P1	300	459	2.06061509968911	0	-
ANXA2P3	302	315	1.41449772357937	0	-
ANXA3	303	499	2.85765986500694	14	0.081419017
ANXA4	304	501	3.2089209911802	15	0.058616468
ANXA5	305	501	4.00794626342277	33	0.0657277
ANXA6	306	501	4.34362547956139	25	0.053690002
ANXA7	307	501	3.87604558444951	108	0.07905297
ANXA11	308	501	4.1481541276099	22	0.079335362
ANXA13	309	52	0.330564548867064	3	0.177846154
AOAH	310	449	1.74446761924258	0	0.291609354
AOC2	311	500	2.19013602950198	0	0.260004373
AOX1	313	385	1.56784489277083	5	0.206810111
APAF1	314	501	2.70138885666914	19	0.143995098
NUDT2	315	500	3.43772791234226	1	0.271287129
APOF	316	2	0.0160697659900794	2	0.425022052
APBA1	317	499	2.43535297230231	24	0.05265724
APBA2	318	500	4.04565533960495	15	0.048560938
APBB1	319	501	4.57130098526931	62	0.06829395
APBB2	320	501	3.73749809322772	5	0.073322573
APC	321	501	3.36474391483663	133	0.090372907
APCS	322	500	2.56880709872772	17	0.29706892
AIRE	323	492	2.23321253857327	60	0.208245595
APEH	324	501	4.1610731478396	32	0.106183789
APEX1	325	501	3.50098926126337	91	0.042010269
BIRC2	326	501	3.6227356972901	91	0.143575516
BIRC3	327	387	1.89790888407341	64	0.184466019
XIAP	328	501	3.88462978105412	95	0.155952381
BIRC5	329	354	1.47306119187897	0	0.102977116
APLP1	330	501	4.46609442188515	56	0.109942815
APLP2	331	501	5.40609780190825	35	0.084158416
APOA1	332	501	3.25261583004555	74	0.223801443
APOA2	333	6	0.051757268077381	15	0.471543382
APOA4	334	397	1.69522940396238	2	0.151033881
APOB	335	24	0.149361902003968	29	0.360511743
APOBEC1	336	8	0.0564921030218254	7	0.316810345
APOC1	338	501	4.22480412410693	5	0.233719893
AQP8	340	343	1.5255762010744	0	0.20029222
APOC4	341	501	3.3756137945901	1	0.234293529
APOC3	342	7	0.0616201221190476	5	0.443485477
APOC4	343	189	0.915361601667327	1	0.234293529
APOD	344	501	3.86457596769307	12	0.332581149
APOE	345	501	4.73077539319076	59	0.147483628
APOH	347	2	0.0150641086884921	16	0.22118607
APP	348	501	4.73485283510066	1343	0.041488311
APRT	350	501	4.35667957499703	18	0.096284153
KLK3	351	501	2.44705922346914	14	0.385661434
FAS	352	500	2.23459123412783	68	0.462842947
FASLG	353	12	0.0817206696547619	86	0.323322016
SHROOM2	354	478	2.52471314835913	6	0.160418261
AQP1	355	501	4.76941868745941	8	0.047921558
AQP2	356	501	4.31012053234357	5	0.110663247
AQP3	357	286	1.52739521079901	2	0.036801242
AQP4	358	501	3.83159996503762	6	0.077475195
